AffiliationID,ProviderID,ProviderAffliated,ProviderAffiliationName,ProviderAffiliationType,ProviderAffiliationStartDate,ProviderAffiliationEndDate
f8a83348-475f-43cd-8966-f0fe25f334e2,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,Yes,Atlantic Health System,Health System,2019-04-30,2022-12-24
09673730-9555-4a74-b09b-34e475634adc,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,Yes,Trinitas Regional Medical Center,Clinic,2016-12-07,2021-03-15
cb3702e9-8c9c-49c1-9b84-84fa94c4f9ba,520bc35d-cdd1-4007-b1af-7bd374e41250,No,,,,
b7643cd8-e8c3-426b-82ff-17dc9d0b2adc,61003682-6150-4367-9417-7b2cfdfbe9b8,Yes,Newark General Hospital,Health System,2019-04-10,2025-07-02
c012ff01-1c23-4ebf-bbbf-9889e8ad7e60,796228d5-1e00-4e63-b294-a519bed89701,Yes,Hackensack Medical Affiliates,Clinic,2024-04-20,2025-07-02
ca6fb341-5017-41cd-b8e8-6e04bc119170,62451773-ac86-4ce6-a61d-3ace3ba77955,No,,,,
518e4b49-d21f-4f4d-809a-c740febb6799,92f56086-f0c7-4792-b7ea-925d2657d2f6,Yes,Hackensack Medical Affiliates,Medical Group,2016-07-16,2018-01-18
b6dff89e-b7eb-477d-8f44-d9c64322f34d,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,Yes,Jersey Shore Hospital,Hospital,2020-08-07,2025-07-02
7dff5265-d22e-4249-850f-9602dc65a0ba,dd813dc4-1366-4aa3-ae19-8499e145c826,Yes,Hackensack Medical Affiliates,Health System,2016-09-23,2021-07-14
9c303b54-2573-457f-bf50-610ec0a0be7a,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,Yes,Trinitas Regional Medical Center,Hospital,2023-04-07,2025-07-02
4a90bb9f-c611-4a25-9ed8-c591af2489da,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,No,,,,
ddfd1306-36bf-40c4-8f4f-3858d7fcc2fc,b0956c5b-d918-4445-94fa-3890e7f4aeac,Yes,Jersey Shore Hospital,Health System,2021-02-22,2023-06-07
78e1edf6-2355-4619-97b8-a4d6fb9d5f6a,5effb935-5090-4af6-a276-6f49028efa7f,Yes,Saint Mary's Medical Center,Hospital,2021-08-13,2025-07-02
b8419223-a009-429b-a36f-899c45fd582d,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,Yes,Newark General Hospital,Hospital,2018-05-18,2022-02-09
8c8313ce-1f38-4273-a25c-f46f112c89fd,88229580-f7e9-4e95-8add-135709284134,Yes,RWJBarnabas Health,Clinic,2021-04-01,2025-07-02
52208dc8-6cbe-4d3e-8f46-e27668a89ed4,b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,Yes,Jersey Shore Hospital,Medical Group,2018-04-03,2025-07-02
887b2f61-2b0f-4bd9-889d-924da1cb1201,63e6f90b-6c5e-4228-83b8-c77f9db76e8c,Yes,Trinitas Regional Medical Center,Medical Group,2015-08-10,2021-07-20
5513883f-4b2a-4884-aa05-e7dd1138a5da,b4ed3446-cb1e-472c-91a8-1749ec3b4891,Yes,Newark General Hospital,Health System,2023-01-17,2025-07-02
14a7d5a5-e453-4580-8b07-424b50a67e06,f30d824a-7137-4ceb-8e9e-db40ab2f349d,Yes,RWJBarnabas Health,Medical Group,2024-05-17,2025-07-02
48d73bac-d008-4a59-a43b-2b0a8e724e09,fa4a3ba4-8f7c-4178-b69d-eb516023717d,No,,,,
47055334-41eb-4eed-b4fa-7ce549a2c1e0,d2e1594a-3439-498b-8160-5e22c0316398,Yes,Atlantic Health System,Health System,2020-08-12,2021-10-31
e4f45cfc-f017-41f8-8a90-701434dcccc8,be65a248-e6b2-4e58-b809-3c57948d5a80,Yes,Trinitas Regional Medical Center,Hospital,2022-09-07,2025-07-02
02c541ec-2dbd-414d-ba20-5ad409ca04a1,36837759-3a72-46ef-a614-4dfa96ca523c,Yes,Hackensack Medical Affiliates,Hospital,2015-07-10,2025-01-26
55805bab-d18f-484a-b106-4167e6886cc7,7ced3223-39e9-4665-846d-a318da87ab19,Yes,Saint Mary's Medical Center,Health System,2023-04-28,2025-07-02
4628b37e-3e91-4aac-83da-19b050059b73,38407f8a-0d16-42f1-8a34-4c29cf9de508,Yes,Newark General Hospital,Hospital,2020-06-10,2024-03-17
b70f07df-4c1f-4154-b43e-278f1e10fa8e,37c27e78-fad2-428b-864e-0018499a4697,Yes,Newark General Hospital,Hospital,2015-11-05,2018-12-16
0742f3b5-2073-471d-a5e8-c48c95f83508,ebb44c98-2f95-4fe7-8b6a-f91face14769,Yes,RWJBarnabas Health,Hospital,2019-12-17,2025-07-02
46766465-a9a3-40c0-aa20-c2529d261f97,011d7b5d-c89c-4fde-9c5d-fc1bf1ea87b9,Yes,Princeton Health Group,Hospital,2016-10-09,2021-08-01
a4fb9fa3-8dd1-44c7-8d2d-25594ffceac8,e2899908-098d-452a-94be-6e2f38caa0bc,No,,,,
3b0fc9e3-a156-493d-9872-e4982092851b,4aa85d29-41e8-47ea-97eb-71600e185ee5,Yes,Trinitas Regional Medical Center,Medical Group,2015-10-07,2019-02-11
bd791017-e000-47d2-877b-1133d3e66bf3,14b842b1-8da0-407b-aa05-bcc4a1bc9d72,Yes,Trinitas Regional Medical Center,Clinic,2018-10-06,2023-01-23
1d366e8f-8a87-4c1d-a547-10a55df60502,7554c3ea-f22e-434b-8017-72f8ee6b8e23,Yes,Princeton Health Group,Clinic,2023-11-05,2025-07-02
b5f69049-b3ba-4bb0-b035-1b90010f05ba,a5df2d84-41bf-4028-8a8c-c8d45e266b6a,Yes,Trinitas Regional Medical Center,Hospital,2019-07-16,2025-07-02
28fd23e1-4394-4f56-81a0-aad04472c3b8,34a96adf-668c-4569-a77f-8e1ca34dab28,Yes,Princeton Health Group,Clinic,2024-05-27,2025-07-02
d69d6f4d-b04c-4976-8c1c-e3c1a27caf46,54103731-fb3d-4b97-b839-596c2f0c25a9,Yes,Princeton Health Group,Health System,2018-07-22,2025-05-22
ecd4d79c-67cc-492e-b93f-bcf9d6479bba,5936c7c4-9c23-4a2e-8c91-32234e59f6b6,Yes,Newark General Hospital,Health System,2016-02-25,2017-03-09
3d0772df-6414-450b-94d3-0f26cf04cf25,3a94d889-00fa-476d-b70c-20047cfd251f,No,,,,
11f712d0-86c5-4dcc-9774-77b6f94e9f47,aa979b99-077d-4dda-afaf-01c76d36a4cd,Yes,Trinitas Regional Medical Center,Hospital,2016-11-08,2018-03-10
9534ec9d-582a-45d9-8dc3-86f5370e36d8,f4c2883a-a780-4540-9081-bb613d5f3016,Yes,Trinitas Regional Medical Center,Clinic,2022-11-12,2025-07-02
b8acb54e-f287-4b0d-8f33-9cb25d44b89e,f1a69259-1d65-4c0c-ae58-9422a6091ae7,Yes,Newark General Hospital,Health System,2023-09-07,2025-07-02
34c4704e-80ef-4f34-9b06-80ae3f04c56f,d36a0892-ba61-40d3-a3cf-912ecb58ed55,Yes,Saint Mary's Medical Center,Hospital,2017-09-09,2019-03-12
fe0e1a1e-8b29-45f8-b5cf-f0002e01c0e6,0198128f-da8c-4281-a7b9-a722de37368d,No,,,,
1b9ec8de-09e6-4bb3-8cd4-21b8d4b5c243,b5e0b7d5-751f-48f8-9d44-ab68d80a338b,Yes,Princeton Health Group,Clinic,2019-06-24,2022-01-06
78fe98e2-f66e-4d30-9b14-b63fefbe4d89,d03275de-9296-442e-8b34-34d3bb5ddc7d,No,,,,
247c75d1-bc0b-4c58-b7ef-e3baf88818de,2a25c33b-675b-43f1-a48c-6362037563fd,Yes,RWJBarnabas Health,Hospital,2022-09-06,2025-07-02
f3f8b494-6c09-4dce-9d39-af23ef60f103,364ead85-392c-4378-94d9-c1f1964b4aff,Yes,Saint Mary's Medical Center,Health System,2016-04-03,2020-02-15
15fcfbef-b794-4c2f-8376-de1e96a1d830,3de6cced-f8b0-45ac-b037-9260238186c0,Yes,Trinitas Regional Medical Center,Medical Group,2022-02-19,2025-04-01
59f4927d-448f-4809-b437-6b3ad458c537,e30a1cf7-f0ca-44a5-bb4b-ef60a3a87d6d,Yes,Newark General Hospital,Health System,2020-10-11,2025-07-02
955077bd-1742-4f09-9642-b980700dffcb,dc07e21c-7de9-4473-b863-0e76bdb4aad3,Yes,Jersey Shore Hospital,Hospital,2019-02-03,2025-07-02
af81b17e-01d1-422a-9045-466efca41798,63c1158c-6dd8-43b6-afa3-eeca8312126f,Yes,Saint Mary's Medical Center,Health System,2020-12-26,2024-08-21
45110593-0295-4867-81fc-40515a747758,78d36cbe-4fd6-4af6-911d-a62ff72dfdad,Yes,RWJBarnabas Health,Medical Group,2021-06-05,2024-07-04
b774a531-0c47-46b0-abaf-30e11cdc63f4,905ea4e8-7d2b-49b9-8d76-2be6b9cf710e,Yes,Princeton Health Group,Health System,2015-09-23,2016-09-25
c0f29d05-b1f3-422e-9963-a325e214aba6,0e646161-1d19-4b8b-bbdd-dbc4af838eca,Yes,Newark General Hospital,Clinic,2017-06-30,2025-07-02
53c986af-04e3-4f38-bff0-4527c08deccc,b4441ba7-e9ea-4e4b-9ed1-d62f172bb394,Yes,Saint Mary's Medical Center,Hospital,2016-07-02,2025-07-02
2a3e8bdd-7bd4-4cb7-9b1f-ed17c94aadd8,211885d8-efbf-47dd-8da8-b682ee071ad3,Yes,RWJBarnabas Health,Clinic,2017-11-03,2022-04-25
4222c33c-253d-45a4-9ffc-7315748e01b5,03b397ee-fd91-43b9-8d18-6695a04b1613,Yes,Saint Mary's Medical Center,Clinic,2023-02-15,2025-07-02
be4c669a-430a-4d0f-ba43-0aaf97712f55,908f31ad-4c5b-4dfb-9fef-f6a0f910eed6,Yes,Hackensack Medical Affiliates,Clinic,2016-05-13,2019-04-06
e4f93c4b-58bc-41c7-a090-61325614360c,9e4747eb-f566-4438-a7b3-670421d7b6d5,No,,,,
a6e983a4-21c2-4d9f-a7a4-4c37929ae680,ac657077-fc1d-4a72-b8d5-8d79549263f3,Yes,Princeton Health Group,Hospital,2018-05-01,2025-07-02
a01ebc89-61e4-4d6b-bb90-481da91d94b2,dbb54508-b49b-48cd-8906-cb874f6b89d3,Yes,Saint Mary's Medical Center,Clinic,2019-03-25,2023-03-16
dc6186d3-0b6d-4475-9eb8-e647f4cdf0f3,ae064b1b-ad19-45a8-81c3-6219ed180155,Yes,Newark General Hospital,Medical Group,2016-11-25,2025-03-29
62490d15-d8b1-4561-a7d4-33b637a5d855,88291d97-d60a-4df3-9209-97dad08b3602,Yes,Saint Mary's Medical Center,Medical Group,2021-05-14,2025-07-02
d986f042-f9db-4295-b6f4-8a1e84702af4,88d14c74-d30c-4ef3-a625-23c9b3642dca,Yes,Saint Mary's Medical Center,Medical Group,2016-08-19,2021-02-12
8902a569-62eb-4165-ae51-6b5cdcf906df,25f55abe-a3b8-487c-b7cc-fbd5eb4c687d,Yes,Hackensack Medical Affiliates,Hospital,2021-12-22,2025-06-29
79680d1e-ba62-4258-81b6-25952c07b12d,75c540a0-fce9-48ec-b643-8e2559f41856,Yes,Saint Mary's Medical Center,Hospital,2020-04-26,2021-12-07
413689e7-f091-48c7-b963-4f31e66d262d,aeb5a877-8528-45f7-9bac-5fdf946c5287,Yes,Princeton Health Group,Health System,2018-12-14,2025-07-02
f08d2c80-d31f-41c0-8869-ac985efc731d,36e2ba78-7315-44d8-ad08-1d8bd07c2651,Yes,Trinitas Regional Medical Center,Clinic,2018-07-22,2023-06-06
c23670be-bc80-4b75-9c7a-de3f0d45e3da,a765f1c7-685a-4e39-855f-4d8d54f15743,Yes,Princeton Health Group,Health System,2019-06-06,2025-07-02
96382adf-2e8e-4e44-8915-2ce264d73065,00915b1b-872e-4c84-ab53-c9c8b55e56fc,No,,,,
12413bbc-f9f4-4f6f-b580-8ff0a48c457a,8add2a87-3e58-403d-bc79-5d420706eae3,No,,,,
5aeacd76-0152-45f1-99d9-7411774dca4a,a787b00a-b16e-47c4-b230-021c14a8798d,No,,,,
77a4d89e-f818-4e21-b428-4a59a34b7427,06c47b90-9199-4c12-b950-42378d999569,Yes,Jersey Shore Hospital,Clinic,2019-06-11,2023-12-04
fb207855-e2e5-4ca0-8ac7-7ca11859ac08,f735cde1-2274-4383-ae07-1d3f14e2688f,Yes,Atlantic Health System,Hospital,2018-04-18,2025-07-02
5daefb38-91d2-48dc-8cd6-aa90dd44e6a0,843176e2-d4fd-4b38-8421-347ab2aad1eb,Yes,Hackensack Medical Affiliates,Hospital,2016-02-16,2022-01-08
e571031d-c91d-4a65-8ba5-ed05e33245af,e31ce2ff-0f5d-4867-90b6-31a8da28a520,Yes,Hackensack Medical Affiliates,Medical Group,2019-11-25,2023-11-14
68724f0e-7ded-435e-a231-424e8be59928,f73834b4-df51-4ba9-933c-a82e30697b6a,Yes,Hackensack Medical Affiliates,Hospital,2015-10-16,2019-05-14
f736ac6f-b181-4550-8fbd-30cdd77a4834,d7123480-1a5f-4044-83d8-dc238444c0d5,Yes,RWJBarnabas Health,Health System,2019-06-25,2025-07-02
eacc9d6a-1c58-4b07-aabc-ef57b1bb3c96,80e91034-db71-4e54-89c5-864d5ba77248,No,,,,
d85197df-bfd5-47f7-9a5d-e89158d64263,21fd72a2-b3be-4cb6-af70-441a4364674a,Yes,Jersey Shore Hospital,Health System,2023-10-30,2025-07-02
3f08947e-5fdf-434a-8260-db4adba7f062,e4ccc1b3-e26f-4e22-9724-fb8bb96701d3,No,,,,
c0d6128a-618e-4785-8d2d-f86b47433a46,25dee17c-4b69-418f-bc34-5482ca9b46bd,Yes,Atlantic Health System,Medical Group,2021-06-08,2025-07-02
36e01a89-b47d-4734-b46e-4295f3f1143a,611928a6-5139-491f-8b98-2d200dea7d5f,Yes,Trinitas Regional Medical Center,Health System,2017-09-27,2019-06-24
28bd1830-91fc-4aec-bc72-8d867f963c4d,240b60eb-fe11-42ca-8859-8e4ae61bc19f,Yes,Atlantic Health System,Hospital,2016-04-05,2017-07-31
b497d5b1-5e83-4da9-b0fb-71ed16e43a8a,40fcb372-25a2-4ecd-9197-bd6392e8239a,Yes,Atlantic Health System,Health System,2016-09-17,2020-07-13
1ec6b016-a163-47e5-b3f8-1947818f76f5,44ffc001-6b36-4342-bcd9-3901dd84f015,No,,,,
0c88724a-ad78-45b8-9e21-78558af03fde,36dc0e13-c3f8-4e8d-97a9-79efcce081d2,Yes,Atlantic Health System,Hospital,2018-11-18,2023-08-29
3b8e3821-7c82-4659-9f5a-db13762b18de,272963c7-7a2d-4141-8558-44e6b765f551,Yes,Newark General Hospital,Clinic,2018-03-28,2023-11-30
7cc4660e-1fe2-4e67-bf04-edbb9277c51e,801dd376-1570-4a06-bf1d-1d24f51db861,Yes,RWJBarnabas Health,Hospital,2017-12-30,2023-08-17
b1d2a90a-cdbe-42f3-aa5f-9cbbaeef8efd,a6c97243-831c-403a-b7c3-23dcad6d01e8,No,,,,
789fa50b-cb28-4a54-98b1-13e6facae4ca,d5b8d7a4-c30d-4eef-81ae-a7eede4b5b03,Yes,Hackensack Medical Affiliates,Hospital,2018-09-26,2023-07-03
22d8c4ca-3eb0-46d5-8600-951639687cc1,b2982ef5-ec94-40cf-8fbf-9a6226ed52a9,Yes,Saint Mary's Medical Center,Clinic,2022-06-22,2025-07-02
ba53eb1a-f545-46b9-afaf-b224fbbdc069,88e92ebe-6a45-4719-89c1-a6d2403a2e1d,Yes,Atlantic Health System,Hospital,2023-04-07,2025-07-02
fe4b013f-cd87-4718-ab0d-afb9a1fca84d,b6ae4878-57b3-46e4-be81-dee272e298f9,Yes,Hackensack Medical Affiliates,Hospital,2017-07-16,2018-12-18
d0244cba-f332-4b14-a81b-749c17a6105a,6d929496-1ca2-48b1-a21b-2c559d8c30c2,Yes,Jersey Shore Hospital,Hospital,2017-07-04,2021-05-02
ebdd7d68-a8e4-43b8-b74d-ec32eaea0d0a,9a36fc1d-f583-4ead-97fc-62fd0c5f0a12,Yes,Hackensack Medical Affiliates,Hospital,2017-11-26,2020-07-07
299c3263-5722-4504-a2c5-81e377840e32,092dd92b-f690-425b-8df4-bf06c4af94a6,Yes,Jersey Shore Hospital,Health System,2023-06-11,2025-07-02
6ab3ea7b-a11e-4d21-ba3b-38f706de5789,8fbb3e3f-7e04-42ff-adf2-5e3a2ae4ab97,Yes,Hackensack Medical Affiliates,Hospital,2019-03-09,2025-07-02
60708aab-b970-4923-82ad-f72e1148c494,61a8dbe1-bf1a-4a42-874e-f54b2a95d405,Yes,Saint Mary's Medical Center,Clinic,2020-05-26,2025-07-02
cb3ff4a8-2399-4644-b729-c70dce8dbfe5,c2c0648e-3758-4f16-b62f-30f043b1e63a,Yes,RWJBarnabas Health,Health System,2015-12-28,2025-02-20
fce2bdd7-3dc2-4176-ac07-be617fe958c8,bcf1e407-3d2e-4e6b-86ca-cb60df4217af,Yes,Newark General Hospital,Medical Group,2023-03-04,2025-07-02
2d1b433f-f582-4d01-8c58-a03f4b3df2ac,d790e0b8-ec5d-4682-b9d6-ebdc5e7a771e,Yes,Saint Mary's Medical Center,Health System,2017-09-26,2025-07-02
25820bb0-e14d-4b22-b363-eaca6ae6e84f,a99b137d-ae43-497b-8e06-d099185f97a9,Yes,Saint Mary's Medical Center,Medical Group,2021-08-30,2025-07-02
edc8222a-f394-422b-a0c3-624a4670b298,381bc2bc-65a6-4a38-8c37-016d7744b9ba,No,,,,
e9e49a82-0bb1-44f6-866d-44642ee3730f,4411a3de-3027-4d51-ad4f-d828e1030a4c,Yes,RWJBarnabas Health,Clinic,2021-04-30,2025-07-02
ec58a184-735b-4cac-ae89-0b2f03f8d36c,6b674a3c-c3c9-4c12-93e6-58d84264c336,No,,,,
5cfd737a-169d-4dd0-9192-5c6d493367de,007d1df1-b680-482c-8e7a-c570330cfc9e,Yes,Jersey Shore Hospital,Clinic,2020-05-13,2025-07-02
84cb0df1-1ff4-4418-9dea-9860726690cd,337bd5a0-5638-4d61-981d-87890d165479,Yes,Princeton Health Group,Clinic,2020-08-24,2025-07-02
c0deef5c-ed8f-4db1-9ebd-ec9bd5e4b74e,17158c37-1a15-4c0e-967d-2d2401d89792,Yes,Atlantic Health System,Clinic,2023-08-03,2025-07-02
11dfbe1f-6588-405c-a95e-d346fad87c1d,4068b31a-7aa1-4aa3-9f71-4b784efe6916,No,,,,
eebd4e2a-7f59-4205-8ffc-dca790004411,59cb966c-d899-465b-a150-84fad5c50d70,Yes,Saint Mary's Medical Center,Clinic,2019-03-28,2025-07-02
a15b979e-3b20-439e-b074-366bb373fc74,57e63dbe-3d4f-4fce-9eb4-ad7c1c1863eb,Yes,Saint Mary's Medical Center,Clinic,2022-04-16,2025-07-02
e49a8be6-a3ae-496b-b858-437b3e5ebe09,cbce4ec1-694b-40d6-b7e7-c93959384060,Yes,RWJBarnabas Health,Clinic,2016-07-17,2025-07-02
06870c1e-1d2a-4f1f-910d-47e2ea8a18a0,b82314ef-2ce6-40ab-8ba8-612511655bc4,Yes,Saint Mary's Medical Center,Hospital,2021-06-20,2025-07-02
9e352cd1-6b7d-4178-9a97-0f22a7f0d19d,b06808df-b575-47e7-b17f-e101bec6a4e8,No,,,,
bbdce8cb-fd84-4e87-bac9-d7701e61eff0,6aaf46a9-abca-4a16-b64f-a298303ad247,Yes,Hackensack Medical Affiliates,Clinic,2022-01-14,2025-07-02
47d3bf5d-754c-4431-b84d-e4b96df242ac,4f4e34d1-279f-4fc1-8d30-34bd6dc07804,Yes,Trinitas Regional Medical Center,Clinic,2016-10-30,2018-09-24
e3b4c9a2-1814-4162-b2d6-c1d80358ab38,11b60810-75a4-48f1-8714-08bfef770583,Yes,Newark General Hospital,Medical Group,2023-08-01,2025-07-02
1c1ea755-bc8c-4fbc-8e0d-ecd8103043d1,d3a58ff5-657b-4eab-8edf-9e0e0019bcd6,No,,,,
11b984d6-43c4-45ae-9e81-30bd3c693136,058a2bff-65cc-42e2-a0b1-1ca10534f573,Yes,RWJBarnabas Health,Clinic,2017-03-08,2021-10-12
ac78c14d-f255-441d-a75e-115c537ac6b4,99abf511-f7d6-4714-b129-5ffbedfff6c6,Yes,Saint Mary's Medical Center,Medical Group,2017-08-03,2025-07-02
5f6ce26b-30ba-47d7-a7fd-be32cf4d294f,d049c22e-272b-4998-b3e5-2c1bdc245a7a,No,,,,
b9fd15a5-38dc-48b1-a68e-42ae67fac490,d563fd75-b1a3-4aa0-bd83-d901fc7b0819,No,,,,
49774a42-481b-4ef5-bfdf-b58efee12744,ba263c64-8560-43d7-95c4-86ff5114f7fb,Yes,Saint Mary's Medical Center,Medical Group,2018-07-08,2022-06-13
5da779b8-1d6c-40c0-b088-348b3d138796,e4f5b957-0c4f-4cc0-9b13-adaa2bb1167d,No,,,,
add02515-60d0-44ed-9db9-755a5d620250,cdf7e463-a0de-43b5-a2b7-cd0524273c5d,Yes,Newark General Hospital,Clinic,2015-11-15,2025-05-02
a6dd7127-3b7e-45a5-8386-6e253a4fa67c,74034907-648d-4198-a341-044ad1f86ab3,Yes,RWJBarnabas Health,Clinic,2023-02-18,2025-07-02
b24f5e77-f73b-47e2-b526-90e3780e170b,de50fe8c-b5e8-4bbf-b567-668ee520b07d,Yes,Jersey Shore Hospital,Hospital,2022-03-05,2024-11-20
42c5c17c-f721-48f9-acd4-22f160c9cdad,cfbf390f-4f95-4030-b95b-856bf082c0cc,Yes,Hackensack Medical Affiliates,Medical Group,2022-11-23,2025-07-02
e892c5b2-87fb-46f7-bf3c-52ccc641ed3c,15e2e515-4838-405f-9250-ccf777047905,No,,,,
8204da27-fc53-436b-a485-bba033709b78,e3a6d56f-0c87-4de3-8037-9e11d987d2fc,Yes,Saint Mary's Medical Center,Health System,2021-06-04,2025-07-02
7fbad6d1-85e7-451e-a752-d167e0f4d1da,e4d55dd8-e160-4953-ac89-78606c3fb45a,Yes,Princeton Health Group,Clinic,2021-01-20,2023-04-12
010ccf3e-8dbd-4e1f-b840-0f44d98fa571,1c3becdc-28ed-44c4-a841-fa50e3484b8d,Yes,Newark General Hospital,Health System,2021-02-24,2025-07-02
5db4dba1-50da-4078-a848-be79a807979d,bbf3b56f-f9fe-4498-908c-59380020932c,Yes,Atlantic Health System,Clinic,2019-05-13,2023-02-23
2a2977fb-d914-42ce-8a71-0bd78cc37417,66e0302c-2d58-4715-9dca-65d93a135194,Yes,Trinitas Regional Medical Center,Medical Group,2019-12-15,2025-07-02
6797de22-f34c-420d-b10e-069bddb9202e,0c650398-f0ed-4085-b5b6-485a6608f0fe,Yes,Newark General Hospital,Health System,2020-11-18,2022-08-07
18d3a63c-25a5-4ac2-b01b-3324f1d553ce,b80ce382-5bc2-45bc-9f6d-8be1f033eb9f,Yes,RWJBarnabas Health,Medical Group,2015-12-11,2023-07-22
