SpecialityID,ProviderID,ProviderSpecialityCode,ProviderSpecialityType,ProviderSpecialityName,ProviderSpecialityStartDate,ProviderSpecialityEndDate
d6727a6d-8e43-4eeb-8440-9b85a8767103,3a74387c-cade-4433-8bd3-157412b302a8,207V00000X,Primary,Obstetrics & Gynecology,2015-09-30,9999-12-31
06f50bd1-26c0-4645-8867-6ed1a846ee10,e46571fe-07e4-45a6-893d-f07cd9dd9117,207Q00000X,Primary,Family Medicine,2024-09-15,9999-12-31
186d90ff-f469-4809-9425-ea254ae26ef0,7ef37887-1877-4be9-86f2-c6fceca52d5a,208VP0000X,Secondary,Psychiatry,2017-01-02,9999-12-31
3a1901fd-2dbe-4bfb-83ce-d70736334d72,58983713-d051-4e41-98b9-1ad68d3d9522,207R00000X,Primary,Internal Medicine,2017-10-11,9999-12-31
9207dc8c-2935-444a-9417-d973a4def173,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,208C00000X,Secondary,Cardiology,2022-11-16,9999-12-31
4c79b329-62cd-4aa2-9a72-e8ec87ba73af,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,208Z00000X,Secondary,Geriatric Medicine,2020-06-01,9999-12-31
8bd1ec84-0d26-4c1f-98b1-f5930d5fb0ed,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,208VP0000X,Secondary,Psychiatry,2021-10-25,9999-12-31
16dc4fd0-e502-422b-a4f9-2ee8e3be33f3,520bc35d-cdd1-4007-b1af-7bd374e41250,208VP0000X,Secondary,Psychiatry,2020-10-21,9999-12-31
ed4b0a80-6b1b-41f5-9028-2025652af84f,61003682-6150-4367-9417-7b2cfdfbe9b8,208VP0000X,Secondary,Psychiatry,2021-01-25,9999-12-31
df67c3a3-eeaa-4ecc-b778-8a4ecf80b8fb,796228d5-1e00-4e63-b294-a519bed89701,208C00000X,Secondary,Cardiology,2016-05-03,9999-12-31
fae0bff1-2c71-4fc8-87fc-6771049312bd,62451773-ac86-4ce6-a61d-3ace3ba77955,207R00000X,Primary,Internal Medicine,2018-01-10,9999-12-31
f5474ac2-618a-437e-9c01-d9361c5da531,92f56086-f0c7-4792-b7ea-925d2657d2f6,207Q00000X,Primary,Family Medicine,2021-12-11,9999-12-31
fb154386-28ff-436e-b841-0b2e4d4565c1,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,207Q00000X,Primary,Family Medicine,2024-08-08,9999-12-31
f90d82df-ca83-44bc-8674-afcbf94f5ab1,dd813dc4-1366-4aa3-ae19-8499e145c826,207Q00000X,Primary,Family Medicine,2024-02-24,9999-12-31
873560b5-d2e6-4fce-9e27-50878455f1e5,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,207Q00000X,Primary,Family Medicine,2022-02-08,9999-12-31
0d0722d7-f3bd-4099-81f2-5e14e9d6068b,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,208D00000X,Secondary,General Practice,2021-04-13,9999-12-31
6a8f59f0-2642-4d8d-9e9a-154e6c16c20a,b0956c5b-d918-4445-94fa-3890e7f4aeac,208C00000X,Secondary,Cardiology,2016-08-14,9999-12-31
f08bbb7a-00ac-479c-afea-1ec0dd4760fd,5effb935-5090-4af6-a276-6f49028efa7f,207V00000X,Primary,Obstetrics & Gynecology,2019-08-11,9999-12-31
9d38b3cd-4ec3-48b2-bc8b-f95843694029,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,207N00000X,Primary,Pediatrics,2022-05-16,9999-12-31
bc3ac68b-2d8d-498d-8360-3bed3590f3da,88229580-f7e9-4e95-8add-135709284134,208C00000X,Secondary,Cardiology,2017-07-20,9999-12-31
5e63e01b-9941-4370-bc30-b50fe9e66ecc,b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,207N00000X,Primary,Pediatrics,2022-06-15,9999-12-31
b0d127b6-9dfa-4e92-9462-acbab700b83d,63e6f90b-6c5e-4228-83b8-c77f9db76e8c,207R00000X,Primary,Internal Medicine,2018-10-31,9999-12-31
ff4ab119-52ec-45ee-a066-ea27021987b0,b4ed3446-cb1e-472c-91a8-1749ec3b4891,208Z00000X,Secondary,Geriatric Medicine,2022-12-12,9999-12-31
cf00b285-adf3-4ec3-a373-5b51cdcad240,f30d824a-7137-4ceb-8e9e-db40ab2f349d,207Q00000X,Primary,Family Medicine,2016-03-17,9999-12-31
58b5609b-ba8d-4071-ab14-45d090055d38,fa4a3ba4-8f7c-4178-b69d-eb516023717d,208D00000X,Secondary,General Practice,2025-04-27,9999-12-31
26698b80-f1c0-4913-8651-c44d2e38d499,d2e1594a-3439-498b-8160-5e22c0316398,208D00000X,Secondary,General Practice,2015-09-26,9999-12-31
46342d75-cfb1-4a3e-b043-5b6ab69c04af,be65a248-e6b2-4e58-b809-3c57948d5a80,207N00000X,Primary,Pediatrics,2023-02-14,9999-12-31
21cca1bd-cc7e-42d6-b98e-584137fe3df1,36837759-3a72-46ef-a614-4dfa96ca523c,207R00000X,Primary,Internal Medicine,2020-11-08,9999-12-31
be914c2c-83ad-41fe-be83-c5283dc28346,7ced3223-39e9-4665-846d-a318da87ab19,207Q00000X,Primary,Family Medicine,2020-07-30,9999-12-31
36eff3c5-9ca2-4d08-b16c-7b03b762376d,38407f8a-0d16-42f1-8a34-4c29cf9de508,208C00000X,Secondary,Cardiology,2019-09-03,9999-12-31
0b37bb26-30aa-460f-b5a9-d0081b21be90,37c27e78-fad2-428b-864e-0018499a4697,208C00000X,Secondary,Cardiology,2017-09-18,9999-12-31
ad7e76f9-a54b-4e5f-b42a-dcb3cad47151,ebb44c98-2f95-4fe7-8b6a-f91face14769,207R00000X,Primary,Internal Medicine,2020-10-06,9999-12-31
9992a034-1a1a-4a8a-85bc-e120bc1b8607,011d7b5d-c89c-4fde-9c5d-fc1bf1ea87b9,208Z00000X,Secondary,Geriatric Medicine,2017-06-22,9999-12-31
58e81213-2e8c-4f26-8ad0-5fc36fe8ddd2,e2899908-098d-452a-94be-6e2f38caa0bc,207N00000X,Primary,Pediatrics,2025-04-12,9999-12-31
81b5a75b-a7b8-470e-9b1a-70c49c48c97f,4aa85d29-41e8-47ea-97eb-71600e185ee5,208VP0000X,Secondary,Psychiatry,2018-01-07,9999-12-31
3aab697b-f4f8-4754-a8ee-2f1968b25818,14b842b1-8da0-407b-aa05-bcc4a1bc9d72,207R00000X,Primary,Internal Medicine,2024-08-21,9999-12-31
692565eb-44ca-4856-aca4-6292de41544c,7554c3ea-f22e-434b-8017-72f8ee6b8e23,208Z00000X,Secondary,Geriatric Medicine,2016-05-09,9999-12-31
81900ed2-9b6f-4b16-9a09-6baa222e90f1,a5df2d84-41bf-4028-8a8c-c8d45e266b6a,208Z00000X,Secondary,Geriatric Medicine,2018-11-18,9999-12-31
eacbc9e4-7212-45ce-a37f-13ad6f00e015,34a96adf-668c-4569-a77f-8e1ca34dab28,208D00000X,Secondary,General Practice,2020-11-18,9999-12-31
967e19d1-afd0-4cb5-8f87-aff699731a22,54103731-fb3d-4b97-b839-596c2f0c25a9,207Q00000X,Primary,Family Medicine,2018-09-22,9999-12-31
28d5e940-3366-4e8f-b9f4-9ce9c58fab7f,5936c7c4-9c23-4a2e-8c91-32234e59f6b6,208D00000X,Secondary,General Practice,2022-12-23,9999-12-31
f2d6525a-ec14-4577-94a4-1ff97a0611c5,3a94d889-00fa-476d-b70c-20047cfd251f,207V00000X,Primary,Obstetrics & Gynecology,2015-11-01,9999-12-31
e018c2bd-1915-4e8b-a5f8-8d59b90d6403,aa979b99-077d-4dda-afaf-01c76d36a4cd,207V00000X,Primary,Obstetrics & Gynecology,2023-06-25,9999-12-31
ab95ea3b-e342-44f9-b7ff-7f66da8737a7,f4c2883a-a780-4540-9081-bb613d5f3016,207R00000X,Primary,Internal Medicine,2024-01-13,9999-12-31
c25818e3-5d5f-4d25-b971-c0cd95c3ea34,f1a69259-1d65-4c0c-ae58-9422a6091ae7,207N00000X,Primary,Pediatrics,2022-07-11,9999-12-31
42ae5c91-523a-48c6-8740-2313759ebe3b,d36a0892-ba61-40d3-a3cf-912ecb58ed55,207R00000X,Primary,Internal Medicine,2021-05-18,9999-12-31
f32d0bfb-b92f-4303-8bff-77b9372e0025,0198128f-da8c-4281-a7b9-a722de37368d,208Z00000X,Secondary,Geriatric Medicine,2024-04-01,9999-12-31
6751d1a1-fb11-4b83-b1e9-9db16dd227cc,b5e0b7d5-751f-48f8-9d44-ab68d80a338b,208D00000X,Secondary,General Practice,2018-08-23,9999-12-31
1391a273-b197-4025-9c88-e745009434ee,d03275de-9296-442e-8b34-34d3bb5ddc7d,208VP0000X,Secondary,Psychiatry,2017-03-26,9999-12-31
5366e258-d4ee-4092-a965-775a724a73cb,2a25c33b-675b-43f1-a48c-6362037563fd,208Z00000X,Secondary,Geriatric Medicine,2018-10-05,9999-12-31
d2642e4c-7161-4bb4-8e7a-10050a794b87,364ead85-392c-4378-94d9-c1f1964b4aff,207Q00000X,Primary,Family Medicine,2018-11-03,9999-12-31
298af10e-f388-4870-b262-23e11af9b4ec,3de6cced-f8b0-45ac-b037-9260238186c0,207R00000X,Primary,Internal Medicine,2020-02-04,9999-12-31
5c2d484b-12a6-415b-83ab-272db5247d17,e30a1cf7-f0ca-44a5-bb4b-ef60a3a87d6d,207R00000X,Primary,Internal Medicine,2018-06-08,9999-12-31
a7333ce8-516c-4042-9803-0239037ed896,dc07e21c-7de9-4473-b863-0e76bdb4aad3,208C00000X,Secondary,Cardiology,2023-03-31,9999-12-31
c2254b65-bda5-43d2-a890-2ff235a27bc0,63c1158c-6dd8-43b6-afa3-eeca8312126f,208Z00000X,Secondary,Geriatric Medicine,2024-04-19,9999-12-31
daa09a0e-aef0-4ab8-a4de-53dd965d5572,78d36cbe-4fd6-4af6-911d-a62ff72dfdad,207Q00000X,Primary,Family Medicine,2018-11-27,9999-12-31
bdbffabf-6697-4276-9f8b-915dd08fec90,905ea4e8-7d2b-49b9-8d76-2be6b9cf710e,207R00000X,Primary,Internal Medicine,2018-05-26,9999-12-31
53dcd997-e9f2-4d6b-ab76-8649360584d1,0e646161-1d19-4b8b-bbdd-dbc4af838eca,207V00000X,Primary,Obstetrics & Gynecology,2022-03-07,9999-12-31
bda6145f-27cf-4d52-9c07-992cfa313ca7,b4441ba7-e9ea-4e4b-9ed1-d62f172bb394,207V00000X,Primary,Obstetrics & Gynecology,2022-04-09,9999-12-31
fe665bcc-426a-4aa8-b09c-155c77594f85,211885d8-efbf-47dd-8da8-b682ee071ad3,208D00000X,Secondary,General Practice,2021-09-14,9999-12-31
5792f659-673b-4294-983e-a0ec85209522,03b397ee-fd91-43b9-8d18-6695a04b1613,208Z00000X,Secondary,Geriatric Medicine,2023-01-08,9999-12-31
29e0a493-15fe-4980-bccd-650e6059f63c,908f31ad-4c5b-4dfb-9fef-f6a0f910eed6,208VP0000X,Secondary,Psychiatry,2021-04-01,9999-12-31
13ab4e6f-2ca7-4d63-89cf-f8fa5e4aff37,9e4747eb-f566-4438-a7b3-670421d7b6d5,207V00000X,Primary,Obstetrics & Gynecology,2019-07-01,9999-12-31
322a054e-e647-4568-9fbf-c25fcf457b88,ac657077-fc1d-4a72-b8d5-8d79549263f3,207V00000X,Primary,Obstetrics & Gynecology,2024-01-01,9999-12-31
55850894-cfa6-4746-bcb9-03a97cfde8fb,dbb54508-b49b-48cd-8906-cb874f6b89d3,208D00000X,Secondary,General Practice,2018-11-09,9999-12-31
603ea175-cccf-4083-9023-63ea3680246c,ae064b1b-ad19-45a8-81c3-6219ed180155,208VP0000X,Secondary,Psychiatry,2016-07-08,9999-12-31
ef7e4abd-d97f-4c41-bb72-57b2e42a7c36,88291d97-d60a-4df3-9209-97dad08b3602,207N00000X,Primary,Pediatrics,2017-05-16,9999-12-31
8888f961-3294-457a-8c8c-c14525151681,88d14c74-d30c-4ef3-a625-23c9b3642dca,207V00000X,Primary,Obstetrics & Gynecology,2024-10-16,9999-12-31
8feea44a-a264-4825-ba97-c3f798e632b2,25f55abe-a3b8-487c-b7cc-fbd5eb4c687d,207V00000X,Primary,Obstetrics & Gynecology,2015-11-27,9999-12-31
03d6e148-8f01-4983-822a-7805be1ec1ff,75c540a0-fce9-48ec-b643-8e2559f41856,207N00000X,Primary,Pediatrics,2024-11-07,9999-12-31
de2c3814-fd05-4908-8433-f60f13a3938b,aeb5a877-8528-45f7-9bac-5fdf946c5287,208Z00000X,Secondary,Geriatric Medicine,2024-09-09,9999-12-31
ad59e37a-51ea-4ba8-9f78-cb9cd305adc4,36e2ba78-7315-44d8-ad08-1d8bd07c2651,208C00000X,Secondary,Cardiology,2021-12-16,9999-12-31
790aa647-3827-49c1-8c54-5a78e637e160,a765f1c7-685a-4e39-855f-4d8d54f15743,208VP0000X,Secondary,Psychiatry,2025-01-18,9999-12-31
7aba3735-3480-4659-9943-11eb7e6d97c4,00915b1b-872e-4c84-ab53-c9c8b55e56fc,208VP0000X,Secondary,Psychiatry,2019-12-18,9999-12-31
5907c23d-e439-4b30-a6ed-9cc6ae30c915,8add2a87-3e58-403d-bc79-5d420706eae3,207N00000X,Primary,Pediatrics,2025-05-13,9999-12-31
ff0c6791-e23b-41ca-98a4-a8dae5994262,a787b00a-b16e-47c4-b230-021c14a8798d,207Q00000X,Primary,Family Medicine,2025-05-20,9999-12-31
9e854965-9a58-46cc-9cb4-b32ddc50cfc0,06c47b90-9199-4c12-b950-42378d999569,207R00000X,Primary,Internal Medicine,2019-09-18,9999-12-31
d9683d96-7aba-4c20-b9ce-1a0caa1df036,f735cde1-2274-4383-ae07-1d3f14e2688f,208C00000X,Secondary,Cardiology,2022-09-05,9999-12-31
4621160e-891f-4cd0-9d30-a1c7e7510bf3,843176e2-d4fd-4b38-8421-347ab2aad1eb,208VP0000X,Secondary,Psychiatry,2022-11-21,9999-12-31
afa38ee9-a44f-4457-92e5-4be683d0a7c3,e31ce2ff-0f5d-4867-90b6-31a8da28a520,208VP0000X,Secondary,Psychiatry,2017-07-03,9999-12-31
80e7f5fe-f720-43c3-b7b7-0c0aba5c4f92,f73834b4-df51-4ba9-933c-a82e30697b6a,208D00000X,Secondary,General Practice,2015-12-29,9999-12-31
7d5db9bb-ea67-4650-9375-3b1bb1bb2fcb,d7123480-1a5f-4044-83d8-dc238444c0d5,207Q00000X,Primary,Family Medicine,2021-02-14,9999-12-31
dfa970a7-797f-4cf1-8790-f38860a131f6,80e91034-db71-4e54-89c5-864d5ba77248,207Q00000X,Primary,Family Medicine,2025-03-14,9999-12-31
1a8aecd0-02f5-48ed-bf58-c567d09f4209,21fd72a2-b3be-4cb6-af70-441a4364674a,208VP0000X,Secondary,Psychiatry,2018-12-05,9999-12-31
2d907b8a-da7d-41f0-ae30-c74b908c7206,e4ccc1b3-e26f-4e22-9724-fb8bb96701d3,207R00000X,Primary,Internal Medicine,2019-06-28,9999-12-31
45ede667-8d12-4d0f-8c6a-94da5a1b71df,25dee17c-4b69-418f-bc34-5482ca9b46bd,207Q00000X,Primary,Family Medicine,2017-04-14,9999-12-31
30608d70-0247-4b26-933d-c557f6296229,611928a6-5139-491f-8b98-2d200dea7d5f,207N00000X,Primary,Pediatrics,2024-09-05,9999-12-31
b8189890-98ad-439f-92a2-e8ff77914ca7,240b60eb-fe11-42ca-8859-8e4ae61bc19f,207R00000X,Primary,Internal Medicine,2024-03-02,9999-12-31
b9a71a68-ca6b-4160-bb5b-59953974a4af,40fcb372-25a2-4ecd-9197-bd6392e8239a,207Q00000X,Primary,Family Medicine,2019-11-01,9999-12-31
8050aafa-2c31-413e-9144-74e9f9702774,44ffc001-6b36-4342-bcd9-3901dd84f015,207N00000X,Primary,Pediatrics,2019-03-23,9999-12-31
96bf5e1d-ddf1-4c85-b3b1-c6749c12f76c,36dc0e13-c3f8-4e8d-97a9-79efcce081d2,208VP0000X,Secondary,Psychiatry,2020-02-17,9999-12-31
751e3732-b041-4f8c-9cab-fd7be686f9bc,272963c7-7a2d-4141-8558-44e6b765f551,208D00000X,Secondary,General Practice,2018-05-27,9999-12-31
ae835360-b4ee-4f81-8081-d5f75775d76e,801dd376-1570-4a06-bf1d-1d24f51db861,207Q00000X,Primary,Family Medicine,2023-01-02,9999-12-31
0cf8dea4-4e4f-4a47-a333-08994d171e9c,a6c97243-831c-403a-b7c3-23dcad6d01e8,207Q00000X,Primary,Family Medicine,2015-12-18,9999-12-31
46ef1a6c-145d-422f-9248-754f07ca5c79,d5b8d7a4-c30d-4eef-81ae-a7eede4b5b03,207N00000X,Primary,Pediatrics,2022-07-24,9999-12-31
583e1579-dbdf-47f0-8427-898d48b47425,b2982ef5-ec94-40cf-8fbf-9a6226ed52a9,207R00000X,Primary,Internal Medicine,2020-04-30,9999-12-31
73f2f5d4-b979-4761-8613-ddc3a8189a04,88e92ebe-6a45-4719-89c1-a6d2403a2e1d,207Q00000X,Primary,Family Medicine,2019-07-21,9999-12-31
832f15fc-a882-48ad-8b6f-46fd66248318,b6ae4878-57b3-46e4-be81-dee272e298f9,208C00000X,Secondary,Cardiology,2024-03-22,9999-12-31
838ca299-069f-4ea4-a5be-cba3d8219116,6d929496-1ca2-48b1-a21b-2c559d8c30c2,208VP0000X,Secondary,Psychiatry,2022-06-02,9999-12-31
409be2ba-2ed2-40db-a1cc-4d2378a5bc11,9a36fc1d-f583-4ead-97fc-62fd0c5f0a12,208C00000X,Secondary,Cardiology,2018-04-23,9999-12-31
e7fae3f6-cf8c-4725-a0bf-4d3affbbc788,092dd92b-f690-425b-8df4-bf06c4af94a6,207V00000X,Primary,Obstetrics & Gynecology,2020-12-02,9999-12-31
0584bc94-d28d-4ca0-baeb-33c63e7d09be,8fbb3e3f-7e04-42ff-adf2-5e3a2ae4ab97,208Z00000X,Secondary,Geriatric Medicine,2019-09-09,9999-12-31
e5b5fff0-fab2-49b2-9e7d-034fb01f88c1,61a8dbe1-bf1a-4a42-874e-f54b2a95d405,208Z00000X,Secondary,Geriatric Medicine,2024-05-01,9999-12-31
d39d45a3-3457-4c69-85d6-91805caa3257,c2c0648e-3758-4f16-b62f-30f043b1e63a,208Z00000X,Secondary,Geriatric Medicine,2018-12-23,9999-12-31
06eed922-35db-461d-a2a1-a55783d3aba5,bcf1e407-3d2e-4e6b-86ca-cb60df4217af,207V00000X,Primary,Obstetrics & Gynecology,2019-09-10,9999-12-31
e954dc97-8ba3-4665-9675-35da346c8a9d,d790e0b8-ec5d-4682-b9d6-ebdc5e7a771e,207Q00000X,Primary,Family Medicine,2019-07-29,9999-12-31
a4e23f29-5a26-470a-9b18-3a7cb459bb6e,a99b137d-ae43-497b-8e06-d099185f97a9,207Q00000X,Primary,Family Medicine,2021-01-29,9999-12-31
872b12e6-a78c-4c58-8aab-308ca0056a0e,381bc2bc-65a6-4a38-8c37-016d7744b9ba,208D00000X,Secondary,General Practice,2022-11-09,9999-12-31
8211187a-886a-48ab-9750-6f825b0c710f,4411a3de-3027-4d51-ad4f-d828e1030a4c,207V00000X,Primary,Obstetrics & Gynecology,2024-07-06,9999-12-31
60d678d8-faaa-4561-8071-a42fbe4d3a69,6b674a3c-c3c9-4c12-93e6-58d84264c336,207N00000X,Primary,Pediatrics,2023-01-10,9999-12-31
753b6f67-9581-4ec0-8393-e5ec5c2a73e9,007d1df1-b680-482c-8e7a-c570330cfc9e,208D00000X,Secondary,General Practice,2021-10-21,9999-12-31
51554bba-00e0-40d3-ad51-d5a9c0f70aba,337bd5a0-5638-4d61-981d-87890d165479,208VP0000X,Secondary,Psychiatry,2023-12-11,9999-12-31
66be3867-d355-48ba-b485-9fd2e8f49be2,17158c37-1a15-4c0e-967d-2d2401d89792,208D00000X,Secondary,General Practice,2015-07-24,9999-12-31
4d828928-70ad-4563-80ff-b0755fbb92e7,4068b31a-7aa1-4aa3-9f71-4b784efe6916,207Q00000X,Primary,Family Medicine,2020-04-01,9999-12-31
3e5b5919-625d-4827-8a73-125fbdf82df5,59cb966c-d899-465b-a150-84fad5c50d70,208C00000X,Secondary,Cardiology,2020-06-15,9999-12-31
151e6ae0-f4a0-40d5-bb2f-8880d64b200f,57e63dbe-3d4f-4fce-9eb4-ad7c1c1863eb,208C00000X,Secondary,Cardiology,2023-05-09,9999-12-31
b32353be-0049-432b-9f01-7d51eee3cb64,cbce4ec1-694b-40d6-b7e7-c93959384060,208C00000X,Secondary,Cardiology,2024-01-15,9999-12-31
52a17f7d-1c3d-40fa-8da7-cbbd6c9f45e8,b82314ef-2ce6-40ab-8ba8-612511655bc4,208C00000X,Secondary,Cardiology,2021-12-05,9999-12-31
b3118d5f-33b0-43ec-b56a-0f271fe12900,b06808df-b575-47e7-b17f-e101bec6a4e8,208C00000X,Secondary,Cardiology,2022-10-30,9999-12-31
bb608f1c-0725-49ab-b261-fe3f5bafcae1,6aaf46a9-abca-4a16-b64f-a298303ad247,207V00000X,Primary,Obstetrics & Gynecology,2018-05-26,9999-12-31
d00c956c-93ef-47c9-b38b-a8b1516fb47d,4f4e34d1-279f-4fc1-8d30-34bd6dc07804,207Q00000X,Primary,Family Medicine,2020-06-13,9999-12-31
ec77a79a-eb1a-4758-ae23-4cf2013a7c89,11b60810-75a4-48f1-8714-08bfef770583,208C00000X,Secondary,Cardiology,2017-12-09,9999-12-31
a8fbee0b-5b58-4103-805a-9633dcc414ed,d3a58ff5-657b-4eab-8edf-9e0e0019bcd6,208Z00000X,Secondary,Geriatric Medicine,2022-08-05,9999-12-31
1de4fd44-e8b6-4d3d-a87e-17272539a751,058a2bff-65cc-42e2-a0b1-1ca10534f573,208Z00000X,Secondary,Geriatric Medicine,2020-06-01,9999-12-31
2d2c6ccd-7e49-4dd7-979b-f17204c15db0,99abf511-f7d6-4714-b129-5ffbedfff6c6,208C00000X,Secondary,Cardiology,2015-10-20,9999-12-31
26158385-c869-4b2e-a006-d5930416b7b2,d049c22e-272b-4998-b3e5-2c1bdc245a7a,208VP0000X,Secondary,Psychiatry,2015-11-27,9999-12-31
13e84472-09bd-47e0-92e8-bc3829d160fb,d563fd75-b1a3-4aa0-bd83-d901fc7b0819,208D00000X,Secondary,General Practice,2017-09-10,9999-12-31
c7fca0e2-7dfd-401d-a590-b854e45fff78,ba263c64-8560-43d7-95c4-86ff5114f7fb,207Q00000X,Primary,Family Medicine,2024-03-18,9999-12-31
256f5a20-fb31-4e1a-95d8-81eb8cbd7d21,e4f5b957-0c4f-4cc0-9b13-adaa2bb1167d,208D00000X,Secondary,General Practice,2019-11-02,9999-12-31
8ca3cfe6-563f-4c3c-a8ae-c48d8d0a0a96,cdf7e463-a0de-43b5-a2b7-cd0524273c5d,207Q00000X,Primary,Family Medicine,2018-03-31,9999-12-31
ecec9824-ec7b-4bd7-9160-27fd250c31d4,74034907-648d-4198-a341-044ad1f86ab3,207R00000X,Primary,Internal Medicine,2022-03-01,9999-12-31
389ef115-f76e-406d-899b-c6a5d5efa734,de50fe8c-b5e8-4bbf-b567-668ee520b07d,208D00000X,Secondary,General Practice,2015-09-25,9999-12-31
6376b727-ad2c-4e73-93dc-96db36d1b143,cfbf390f-4f95-4030-b95b-856bf082c0cc,208D00000X,Secondary,General Practice,2020-05-05,9999-12-31
10247bb8-84b9-4206-ad95-e78ff07b68b2,15e2e515-4838-405f-9250-ccf777047905,207N00000X,Primary,Pediatrics,2019-07-20,9999-12-31
45f9be63-681f-4c1e-be32-2f04e7c466bb,e3a6d56f-0c87-4de3-8037-9e11d987d2fc,208Z00000X,Secondary,Geriatric Medicine,2023-04-04,9999-12-31
